测量里程,中线北坐标X,中线东坐标Y,中线高程H
805370,3790420.518,482027.6135,41.2533
805371,3790419.522,482027.5211,41.2508
805372,3790418.526,482027.4279,41.2485
805373,3790417.531,482027.3344,41.2458
805374,3790416.535,482027.24,41.2428
805375,3790415.54,482027.1451,41.2401
805376,3790414.544,482027.0499,41.2373
805377,3790413.549,482026.9547,41.2345
805378,3790412.553,482026.8583,41.2313
805379,3790411.558,482026.7613,41.2281
805380,3790410.563,482026.665,41.225
805381,3790409.567,482026.568,41.2225
805382,3790408.572,482026.4702,41.22
805383,3790407.577,482026.3715,41.2174
805384,3790406.582,482026.2725,41.2146
805385,3790405.587,482026.1736,41.2117
805386,3790404.592,482026.0744,41.2089
805387,3790403.597,482025.9737,41.2062
805388,3790402.602,482025.873,41.2035
805389,3790401.607,482025.7719,41.2007
805390,3790400.612,482025.6705,41.1985
805391,3790399.618,482025.5688,41.1963
805392,3790398.623,482025.4659,41.1936
805393,3790397.628,482025.3626,41.1911
805394,3790396.634,482025.2593,41.1886
805395,3790395.639,482025.1557,41.1855
805396,3790394.645,482025.0512,41.1826
805397,3790393.65,482024.9462,41.1799
805398,3790392.656,482024.8409,41.1769
805399,3790391.661,482024.7351,41.1737
805400,3790390.667,482024.6288,41.1708
805401,3790389.673,482024.522,41.168
805402,3790388.678,482024.4147,41.1652
805403,3790387.684,482024.307,41.1623
805404,3790386.69,482024.199,41.1601
805404.6164,3790386.077,482024.1324,41.1584
805405,3790385.696,482024.0908,41.1572
805406,3790384.702,482023.9819,41.1535
805407,3790383.708,482023.8726,41.1511
805408,3790382.714,482023.7627,41.1485
805409,3790381.72,482023.6525,41.1459
805410,3790380.726,482023.542,41.1434
805411,3790379.732,482023.431,41.1408
805412,3790378.739,482023.3196,41.1379
805413,3790377.745,482023.2078,41.1346
805414,3790376.751,482023.0954,41.1315
805415,3790375.758,482022.9826,41.1286
805416,3790374.764,482022.8694,41.1257
805417,3790373.771,482022.7556,41.1232
805418,3790372.777,482022.6405,41.1212
805419,3790371.784,482022.525,41.1188
