里程,左轨平面偏差量,右轨平面偏差量,左轨高程偏差量,右轨高程偏差量,左轨平面调整量,右轨平面调整量,左轨高程调整量,右轨高程调整量
384945.10,2.30,1.70,11.90,12.40,-1.50,-1.00,4.00,3.50
384945.72,2.20,1.50,11.80,12.20,-1.50,-1.00,4.00,3.50
384946.47,2.00,1.20,11.60,12.00,-1.00,-0.50,4.50,4.00
384947.10,2.10,1.20,11.50,11.90,-1.50,-1.00,4.50,4.00
384947.72,2.10,1.00,11.40,11.70,-1.50,-0.50,5.00,4.50
384948.34,2.10,1.00,11.20,11.50,-1.50,-0.50,5.00,4.50
384948.97,2.10,1.20,11.20,11.40,-1.50,-1.00,5.00,5.00
384949.72,2.00,1.20,11.10,11.30,-1.00,-0.50,5.00,5.00
384950.34,2.00,1.20,10.90,11.20,-1.00,-0.50,5.50,5.00
384950.97,1.90,1.10,10.70,11.20,-1.00,-0.50,5.50,5.00
384951.59,1.80,1.00,10.60,11.20,-1.00,-0.50,6.00,5.50
384952.22,2.00,1.20,10.70,11.20,-1.50,-1.00,5.50,5.00
384952.97,2.10,1.20,10.80,11.30,-1.50,-1.00,5.50,5.00
384953.59,2.20,1.20,11.10,11.40,-1.50,-0.50,5.50,5.00
384954.22,2.20,1.10,11.40,11.70,-1.50,-0.50,5.50,5.00
384954.84,2.10,1.10,11.70,12.10,-1.50,-0.50,5.00,4.50
384955.47,2.00,1.10,11.80,12.40,-1.00,-0.50,5.00,4.50
384956.22,1.80,1.10,12.00,12.80,-1.00,-0.50,4.50,3.50
384956.84,1.60,1.00,12.10,13.00,-1.00,-0.50,4.50,3.50
384957.47,1.50,1.10,12.20,13.00,-1.00,-1.00,4.50,3.50
384958.09,1.40,1.10,12.40,13.00,-0.50,-0.50,4.50,4.00
384958.72,1.60,1.10,12.50,13.00,-1.00,-0.50,4.50,4.00
384959.47,1.70,1.10,12.80,13.10,-1.00,-0.50,4.00,3.50
384960.09,1.70,1.00,13.10,13.40,-1.00,-0.50,4.00,3.50
384960.72,1.70,0.80,13.20,13.60,-1.00,-0.50,4.00,3.50
384961.34,1.80,0.80,13.20,13.70,-1.00,-0.50,3.50,3.00
384962.09,1.80,0.60,13.20,13.80,-1.00,0.00,3.50,3.00
384962.72,1.70,0.80,13.30,13.90,-1.00,-0.50,3.50,3.00
384963.34,1.60,0.80,13.50,14.00,-1.00,-0.50,3.50,3.00
384963.97,1.60,0.90,13.70,14.10,-1.00,-0.50,3.50,3.00
384964.59,1.60,0.90,13.90,14.20,-1.00,-0.50,3.00,2.50
384965.22,1.60,0.70,14.00,14.20,-1.00,-0.50,3.00,3.00
384965.97,1.50,0.70,14.00,14.30,-1.00,-0.50,3.50,3.00
384966.59,1.50,0.60,14.00,14.30,-1.00,-0.50,3.00,2.50
384967.21,1.50,0.60,14.10,14.40,-1.00,-0.50,3.00,2.50
384967.84,1.60,0.70,14.10,14.30,-1.00,-0.50,3.00,3.00
384968.59,1.60,0.60,14.10,14.30,-1.50,-0.50,3.00,3.00
384969.21,1.50,0.60,14.00,14.20,-1.00,-0.50,3.00,3.00
384969.84,1.30,0.50,13.90,14.00,-0.50,0.00,3.00,3.00
384970.46,1.10,0.60,13.70,14.00,-1.00,-0.50,3.50,3.00
384971.09,0.90,0.60,13.50,13.80,-0.50,-0.50,4.00,3.50
384971.71,0.80,0.70,13.20,13.60,-0.50,-0.50,4.00,3.50
384972.46,0.90,0.90,13.00,13.40,-0.50,-0.50,4.50,4.00
384973.09,0.90,1.00,12.90,13.20,0.00,-0.50,4.50,4.00
384973.71,0.90,0.80,12.70,13.00,-0.50,-0.50,5.00,4.50
384974.34,1.00,0.80,12.50,12.70,-0.50,-0.50,5.00,5.00
384974.96,0.90,0.70,12.30,12.40,-0.50,-0.50,5.00,5.00
384975.71,1.00,0.80,12.00,12.00,-0.50,-0.50,5.50,5.50
384976.34,1.20,1.10,11.70,11.70,-1.00,-1.00,5.50,5.50
384976.96,1.40,1.10,11.60,11.50,-1.00,-1.00,5.50,5.50
384977.59,1.50,1.10,11.40,11.50,-1.00,-1.00,6.00,6.00
384978.21,1.50,1.10,11.30,11.50,-1.00,-1.00,6.00,6.00
384978.96,1.40,1.00,11.10,11.50,-0.50,-0.50,6.50,6.00
384979.59,1.40,0.90,10.80,11.20,-0.50,-0.50,6.50,6.00
384980.21,1.50,1.00,10.60,10.80,-1.00,-1.00,7.00,7.00
384980.84,1.60,1.10,10.30,10.30,-1.00,-1.00,7.00,7.00
384981.46,1.50,1.00,10.00,9.80,-1.00,-1.00,7.50,7.50
384982.21,1.30,0.90,9.90,9.50,-1.00,-1.00,7.50,8.00
384982.84,1.10,0.80,9.80,9.40,-0.50,-0.50,7.50,8.00
384983.46,1.00,0.70,9.70,9.40,-0.50,-0.50,7.50,8.00
384984.09,0.90,0.60,9.70,9.60,-0.50,-0.50,8.00,8.00
384984.71,1.00,0.50,9.70,9.80,-0.50,-0.50,7.50,7.50
384985.46,1.10,0.20,9.60,9.90,-0.50,0.00,8.00,7.50
384986.09,1.20,0.10,9.60,9.80,-0.50,0.50,7.50,7.50
384986.71,1.10,0.10,9.50,9.70,-1.00,0.00,7.50,7.50
384987.34,0.90,0.10,9.50,9.70,-0.50,0.00,7.50,7.50
384987.96,1.00,0.10,9.50,9.80,-0.50,0.00,8.00,7.50
384988.58,1.00,0.10,9.60,9.90,-0.50,0.00,8.00,7.50
384989.33,1.00,0.20,9.80,10.20,-0.50,0.00,8.00,7.50
384989.96,0.90,0.30,10.00,10.40,-0.50,0.00,7.50,7.00
384990.58,0.70,0.30,10.10,10.50,0.00,0.00,7.50,7.00
384991.21,0.70,0.40,10.10,10.50,0.00,0.00,7.50,7.00
384991.96,0.70,0.50,10.00,10.50,-0.50,-0.50,7.50,7.00
384992.58,0.40,0.30,10.10,10.60,0.00,0.00,7.50,7.00
384993.21,0.10,0.10,10.30,10.80,0.50,0.00,7.00,6.50
